ID,Name_en,Name_ta,Name_hi,Description_en,Description_ta,Description_hi
1,Alambadi,அலம்பாடி,अलम्बाड़ी,"A hardy draught cattle breed from Tamil Nadu. Mainly used for ploughing and pulling carts in dry regions. Known for endurance, adaptability, and low maintenance.","தமிழ்நாட்டின் கடுமையான ஈழக் காளை இனம். முக்கியமாக புல்வெளி வேலை மற்றும் வண்டியூட்டில் பயன்படும். சகிப்புத்தன்மை, தகுதிச்சிறப்பு மற்றும் குறைந்த பராமரிப்பு.","तमिलनाडु का एक मजबूत खच्चर गाय प्रजाति। मुख्यतः हल चलाने और गाड़ी खींचने के लिए उपयोगी। सहनशीलता, अनुकूलता और कम रख-रखाव।"
2,Amritmahal,அம்ரித்மஹால்,अमृतमहल,"A strong draught breed from Karnataka. Used in agriculture and transport due to its stamina. Resilient to harsh climates and diseases.","கர்நாடகாவில் பலமான ஈழக் காளை இனம். வேளாண்மை மற்றும் போக்குவரத்தில் பயன்படும். கடுமையான வானிலை மற்றும் நோய்களுக்கு எதிர்ப்பு.","कर्नाटक का एक मजबूत खच्चर गाय प्रजाति। कृषि और परिवहन में उपयोगी। कठोर जलवायु और बीमारियों के प्रति लचीला।"
3,Ayrshire,ஏர்ஷயர்,एरशायर,"A dairy breed originating from Scotland. Medium-sized with excellent milk quality. Known for rich butterfat and protein content.","ஸ்காட்லாந்திலிருந்து வந்த பால்கருவான இனம். நடுத்தர அளவு, சிறந்த பால் தரம். பெரும் பால் கொழுப்பு மற்றும் புரத உள்ளடக்கம்.","स्कॉटलैंड से उत्पन्न डेयरी गाय। मध्यम आकार और उत्कृष्ट दूध गुणवत्ता। उच्च बटरफैट और प्रोटीन सामग्री।"
4,Banni,பன்னி,बन्नी,"An indigenous breed from Gujarat's Banni region. Adapted to arid climates with high milk yield. Highly resistant to heat and water scarcity.","குஜராத் பன்னி பிராந்தியத்திலிருந்து வந்த உள்ளூர் இனம். வெப்ப நிலைகளுக்கு மற்றும் குறைந்த நீர் உள்ள சூழ்நிலைக்கு தக்கது. அதிக பால் உற்பத்தி.","गुजरात के बन्नी क्षेत्र की स्थानीय गाय। शुष्क जलवायु के अनुकूल, उच्च दूध उत्पादन। गर्मी और पानी की कमी के प्रति अत्यधिक प्रतिरोधी।"
5,Bargur,பர்கூர்,बार्गुर,"A draught cattle breed from Tamil Nadu forests. Reddish-brown coat with white markings. Valued for strength and endurance in farming.","தமிழ்நாடு காடுகளிலிருந்து வரும் ஈழக் காளை இனம். சிவப்பு-பழுப்பு நிறம் மற்றும் வெள்ளை குறிகள். வேளாண்மை வலிமை மற்றும் சகிப்புத்தன்மை மதிப்பீடு.","तमिलनाडु के जंगलों से खच्चर गाय। लाल-भूरा रंग, सफेद धब्बे। कृषि में ताकत और सहनशक्ति के लिए मूल्यवान।"
6,Bhadawari,பதவாரி,भदावरी,"A buffalo breed from Uttar Pradesh. Renowned for high-fat milk production. Thrives in hot and dry conditions.","உத்தரப்பிரதேசத்தின் பசு இனம். அதிக கொழுப்பு கொண்ட பால் உற்பத்திக்குப் பிரசித்தி. சூடான மற்றும் உலர் சூழலில் வாழக்கூடியது.","उत्तर प्रदेश की भैंस प्रजाति। उच्च वसा वाला दूध उत्पादन। गर्म और शुष्क परिस्थितियों में उत्कृष्ट।"
7,Brown_Swiss,ப்ரவுன் சுவிஸ்,ब्राउन स्विस,"One of the oldest dairy breeds from Switzerland. Known for large milk volume and protein content. Calm temperament and adaptable to various climates.","சுவிட்சர்லாந்தின் பழமையான பால்கருவான இனங்களில் ஒன்று. அதிக பால் அளவு மற்றும் புரத உள்ளடக்கம். அமைதியான குணம் மற்றும் பல்வேறு வானிலை சூழ்நிலைகளுக்கு ஏற்றது.","स्विट्ज़रलैंड की सबसे पुरानी डेयरी गायों में से एक। बड़े दूध उत्पादन और प्रोटीन सामग्री के लिए जाना जाता है। शांत स्वभाव और विभिन्न जलवायु के अनुकूल।"
8,Dangi,டாங்கி,डांगी,"A draught cattle breed from Maharashtra. Works well in heavy rainfall and hilly terrain. Medium-sized, strong, and disease-resistant.","மகாராஷ்டிராவில் இருந்து வரும் ஈழக் காளை இனம். கனமழை மற்றும் மலைப்பகுதிகளில் நல்ல செயல்பாடு. நடுத்தர அளவு, வலிமை, நோய்களுக்கு எதிர்ப்பு.","महाराष्ट्र की खच्चर गाय। भारी वर्षा और पहाड़ी क्षेत्रों में अच्छा काम। मध्यम आकार, मजबूत और रोग-प्रतिरोधक।"
9,Deoni,டீஓனி,डीओनी,"A dual-purpose breed from Maharashtra. Used for both milk and draught work. Thrives in semi-arid and dry regions.","மஹாராஷ்டிராவில் இருந்து இரு நோக்குகளுக்கான இனம். பால் மற்றும் ஈழ வேலை இரண்டுக்கும் பயன்படுத்தப்படுகிறது. அரை உலர் மற்றும் உலர் பிராந்தியங்களில் வாழக்கூடியது.","महाराष्ट्र की दोहरे प्रयोजन वाली गाय। दूध और खींचने दोनों कामों में उपयोगी। अर्ध-शुष्क और शुष्क क्षेत्रों में अच्छी तरह बढ़ती है।"
10,Gir,கிர்,गिर,"A famous dairy breed from Gujarat. Gentle temperament and high-quality milk with A2 protein. Reduces disease susceptibility and adapts well to heat.","குஜராத் பிராந்தியத்தின் பிரபலமான பால்கருவான இனம். நெறிமுறை குணம் மற்றும் உயர்தர பால் (A2 புரதம்). நோய்களுக்கு எதிர்ப்பு மற்றும் வெப்பத்திற்கு ஏற்றது.","गुजरात की प्रसिद्ध डेयरी गाय। सौम्य स्वभाव और उच्च गुणवत्ता वाला दूध (A2 प्रोटीन)। रोग संवेदनशीलता कम और गर्मी में अनुकूल।"
11,Guernsey,கெர்ன்சி,ग्वेर्नसे,"A dairy breed from the Channel Islands. Produces golden-yellow milk rich in beta-carotene. Medium-sized and efficient in milk conversion.","சேனல் தீவுகளிலிருந்து வந்த பால்கருவான இனம். பொன்னிற பால், beta-கரோட்டின் ரீதியாக வளமானது. நடுத்தர அளவு, பால் மாற்றத்தில் திறமையானது.","चैनल द्वीपों की डेयरी गाय। सुनहरा पीला दूध, बीटा-कैरोटीन में समृद्ध। मध्यम आकार और दूध परिवर्तन में कुशल।"
12,Hallikar,ஹல்லிகார்,हाल्लिकार,"A draught breed from Mysore, Karnataka. Known for speed, strength, and endurance. Used in agriculture and cart-pulling tasks.","மிஸோர், கர்நாடகாவில் இருந்து வரும் ஈழக் காளை இனம். வேகம், வலிமை மற்றும் சகிப்புத்தன்மை மூலம் பிரசித்தி. வேளாண்மை மற்றும் வண்டி இழுத்தல்.","मैसूर, कर्नाटक की खच्चर गाय। गति, ताकत और सहनशक्ति के लिए प्रसिद्ध। कृषि और गाड़ी खींचने में उपयोगी।"
13,Hariana,ஹரியானா,हरियाणा,"From Haryana, a white-gray dual-purpose cattle. Valued for milk production and draught capability. Adaptable to hot, dry climates.","ஹரியானாவை சேர்ந்த வெள்ளை-சாம்பல் இரு நோக்கங்களுக்கான இனம். பால் உற்பத்தி மற்றும் ஈழ திறனுக்குப் மதிப்பு. சூடான உலர் வானிலைக்குப் பொருந்தக்கூடியது.","हरियाणा की सफेद-भूरी दोहरे प्रयोजन वाली गाय। दूध उत्पादन और खींचने की क्षमता के लिए मूल्यवान। गर्म, शुष्क जलवायु में अनुकूल।"
14,Holstein_Friesian,ஹோல்ஸ்டீன் ஃபிரீசியன்,होल्स्टीन फ्रिसियन,"Top dairy breed from the Netherlands. Black-and-white coat, highest milk yield among cattle. Requires good nutrition for optimal production.","நெதர்லாந்தின் சிறந்த பால்கருவான இனம். கருப்பு-வெள்ளை நிறம், அதிகபால் உற்பத்தி. சிறந்த உற்பத்திக்காக சிறந்த ஊட்டச்சத்து தேவை.","नीदरलैंड की शीर्ष डेयरी गाय। काला-सफ़ेद कोट, सबसे अधिक दूध उत्पादन। इष्टतम उत्पादन के लिए अच्छे पोषण की आवश्यकता।"
15,Jaffrabadi,ஜஃப்ராபாடி,जाफराबादी,"A large buffalo breed from Gujarat. Used for draught and milk purposes. One of the heaviest and strongest Indian breeds.","குஜராத் பிராந்தியத்தின் பெரிய பசு இனம். ஈழ மற்றும் பால் இரண்டுக்கும் பயன்படும். இந்தியாவின் மிகப்பெரிய மற்றும் வலிமையான இனங்களில் ஒன்று.","गुजरात की बड़ी भैंस प्रजाति। खींचने और दूध के लिए उपयोगी। भारत की सबसे भारी और मजबूत प्रजातियों में से एक।"
16,Jersey,ஜெர்சி,जर्सी,"Small dairy breed from Channel Islands. Rich milk with high butterfat content. Gentle nature and efficient feed conversion.","சேனல் தீவுகளிலிருந்து சிறிய பால்கருவான இனம். அதிக பால் கொழுப்பு உள்ள சிறந்த பால். அமைதியான குணம் மற்றும் உணவு மாற்றத்தில் திறமை.","चैनल द्वीपों की छोटी डेयरी गाय। उच्च वसा वाला दूध। सौम्य स्वभाव और कुशल फ़ीड परिवर्तन।"
17,Kangayam,கங்கயம்,कांगायम,"A draught cattle breed from Tamil Nadu. Gray-white coat, medium-sized and strong. Primarily used for ploughing and cart-pulling.","தமிழ்நாட்டிலிருந்து வரும் ஈழக் காளை இனம். சாம்பல்-வெள்ளை நிறம், நடுத்தர அளவு மற்றும் வலிமை. முக்கியமாக புல் வேலை மற்றும் வண்டி இழுத்தலில் பயன்படும்.","तमिलनाडु की खच्चर गाय। धूसर-सफ़ेद रंग, मध्यम आकार और मजबूत। मुख्यतः हल चलाने और गाड़ी खींचने में उपयोगी।"
18,Kankrej,கான்க்ரேஜ்,कांकरेज,"A large dual-purpose breed from Gujarat. Known for milk production and draught strength. Resistant to diseases and heat.","குஜராத் பிராந்தியத்தின் பெரிய இரு நோக்கங்களுக்கான இனம். பால் உற்பத்தி மற்றும் ஈழ வலிமைக்கு பிரசித்தி. நோய்கள் மற்றும் வெப்பத்திற்கு எதிர்ப்பு.","गुजरात की बड़ी दोहरे प्रयोजन वाली गाय। दूध उत्पादन और खींचने की ताकत के लिए जानी जाती है। रोग और गर्मी के प्रति प्रतिरोधी।"
19,Kasargod,கசர்கோட்,कसारगोड,"Small indigenous breed from Kerala. Highly adaptable to local conditions. Low-maintenance, hardy, and disease-resistant.","கேரளாவின் சிறிய உள்ளூர் இனம். உள்ளூர் சூழ்நிலைகளுக்கு அதிகப்படியான பொருந்தும். குறைந்த பராமரிப்பு, கடுமையானது, நோய் எதிர்ப்பு.","केरल की छोटी स्थानीय गाय। स्थानीय परिस्थितियों के लिए अत्यधिक अनुकूल। कम रख-रखाव, मजबूत और रोग-प्रतिरोधी।"
20,Kenkatha,கென்கதா,केनकठा,"Draught breed from Uttar Pradesh and Madhya Pradesh. Compact and strong, used in agriculture. Adapts well to hot and dry climates.","உத்தரப்பிரதேசம் மற்றும் மத்திய பிரதேசத்தில் இருந்து ஈழக் காளை இனம். சுருக்கமான மற்றும் வலிமை வாய்ந்தது. வேளாண்மையில் பயன்படும். சூடான மற்றும் உலர் சூழ்நிலைக்கு ஏற்றது.","उत्तर प्रदेश और मध्य प्रदेश की खच्चर गाय। कॉम्पैक्ट और मजबूत, कृषि में उपयोगी। गर्म और शुष्क जलवायु के अनुकूल।"
21,Kherigarh,கெரிகர்,खेरीघर,"Small to medium cattle from Uttar Pradesh. Mainly used for draught purposes. Hardy breed with moderate milk production.","உத்தரப்பிரதேசத்தின் சிறிய முதல் நடுத்தர அளவு மாட்டுகள். முக்கியமாக ஈழப் பயன்பாட்டிற்கு. சகிப்புத்தன்மை கொண்ட இனம், சராசரி பால் உற்பத்தி.","उत्तर प्रदेश की छोटी से मध्यम गाय। मुख्यतः खींचने के लिए उपयोग। मजबूत प्रजाति, मध्यम दूध उत्पादन।"
22,Khillari,கில்லாரி,खिल्लारी,"A draught breed from Maharashtra. Fast, strong, and suited for agriculture and transport. Medium-sized with high stamina.","மஹாராஷ்டிராவில் இருந்து வரும் ஈழக் காளை இனம். வேகமான, வலிமை வாய்ந்த, வேளாண்மை மற்றும் போக்குவரத்திற்கு ஏற்றது. நடுத்தர அளவு மற்றும் அதிக சகிப்புத்தன்மை.","महाराष्ट्र की खच्चर गाय। तेज़, मजबूत, कृषि और परिवहन के लिए उपयुक्त। मध्यम आकार, उच्च सहनशक्ति।"
23,Krishna_Valley,கிருஷ்ணா_வாலி,कृष्णा_वैली,"Dual-purpose breed from Karnataka. Large frame suitable for milk and draught work. Resilient and adaptable to semi-arid regions.","கர்நாடகாவில் இரு நோக்கங்களுக்கான இனம். பெரிய அமைப்பு, பால் மற்றும் ஈழ வேலைக்கு ஏற்றது. அரை உலர் பகுதிகளுக்கு பொருந்தக்கூடியது.","कर्नाटक की दोहरे प्रयोजन वाली गाय। बड़ा ढांचा, दूध और खींचने के काम के लिए उपयुक्त। अर्ध-शुष्क क्षेत्रों में अनुकूल।"
24,Malnad_gidda,மல்நாட்_கிட்டா,मल्नाड_गिद्दा,"A dwarf cattle breed from Karnataka. Highly disease-resistant and adapted to forests. Low-input and hardy for small farms.","கர்நாடகாவின் குட்டி மாட்டுப் இனம். நோய் எதிர்ப்பு அதிகம், காடுகளுக்கு ஏற்றது. குறைந்த உள்ளீடு, சிறிய பண்ணைகளுக்கு வலிமை வாய்ந்தது.","कर्नाटक की बौना गाय। रोग-प्रतिरोधक, जंगलों के लिए अनुकूल। कम इनपुट, छोटे फार्म के लिए मजबूत।"
25,Mehsana,மெஹ்சானா,मेहसाना,"Buffalo breed from Gujarat with high milk yield. Medium to large size, mainly black with white spots. Adapted to semi-arid regions and hardy.","குஜராத்தின் பசு இனம். அதிக பால் உற்பத்தி. நடுத்தர முதல் பெரிய அளவு, முக்கியமாக கருப்பு மற்றும் வெள்ளை குறிகள். அரை உலர் பகுதிகளுக்கு ஏற்றது.","गुजरात की भैंस प्रजाति। उच्च दूध उत्पादन। मध्यम से बड़े आकार की, मुख्यतः काले और सफेद धब्बे। अर्ध-शुष्क क्षेत्रों के अनुकूल।"
26,Murrah,முர்ரா,मुर्राह,"India's most popular buffalo breed. High milk yield with rich fat content. Jet black body and adaptable to heat.","இந்தியாவின் மிகவும் பிரபலமான பசு இனம். அதிக பால் உற்பத்தி, கொழுப்பு நிறைந்தது. கருப்பு நிற உடல், வெப்பத்திற்கு ஏற்றது.","भारत की सबसे लोकप्रिय भैंस। उच्च दूध उत्पादन और उच्च वसा सामग्री। काला शरीर और गर्मी के अनुकूल।"
27,Nagori,நாகோரி,नागोरी,"Draught breed from Rajasthan. Tall, strong, and used in cart work. Adaptable to arid and semi-arid regions.","ராஜஸ்தானின் ஈழக் காளை இனம். உயரமான, வலிமை வாய்ந்த, வண்டி வேலைக்கு பயன்படும். உலர் மற்றும் அரை உலர் பகுதிகளுக்கு ஏற்றது.","राजस्थान की खच्चर गाय। लंबी, मजबूत, गाड़ी के काम में उपयोगी। शुष्क और अर्ध-शुष्क क्षेत्रों के अनुकूल।"
28,Nagpuri,நாக்புரி,नागपुरी,"Buffalo breed from Maharashtra. Used for milk and draught purposes. Medium size, hardy, and disease-resistant.","மஹாராஷ்டிராவின் பசு இனம். பால் மற்றும் ஈழ வேலைக்கு பயன்படும். நடுத்தர அளவு, வலிமை வாய்ந்த, நோய் எதிர்ப்பு.","महाराष्ट्र की भैंस। दूध और खींचने के लिए उपयोग। मध्यम आकार, मजबूत, रोग-प्रतिरोधक।"
29,Nili_Ravi,நிலி_ரவீ,निली रवि,"Buffalo breed from Punjab region. High milk yield with excellent fat content. Large frame and well-adapted to subtropical climates.","பஞ்சாப் பகுதியில் இருந்து பசு இனம். அதிக பால் உற்பத்தி, சிறந்த கொழுப்பு. பெரிய அமைப்பு, உப-புதுமண்டல சூழலுக்கு ஏற்றது.","पंजाब क्षेत्र की भैंस। उच्च दूध उत्पादन और उत्कृष्ट वसा। बड़ा ढांचा, उप-उष्णकटिबंधीय जलवायु के अनुकूल।"
30,Nimari,நிமாரி,निमारी,"Red-colored draught cattle from Madhya Pradesh. Adapted to hot and semi-arid conditions. Medium-sized, strong, and hardy.","மத்திய பிரதேசத்தின் சிவப்பு நிற ஈழக் காளை இனம். சூடான மற்றும் அரை உலர் சூழலுக்கு ஏற்றது. நடுத்தர அளவு, வலிமை, சகிப்புத்தன்மை.","मध्य प्रदेश की लाल खच्चर गाय। गर्म और अर्ध-शुष्क परिस्थितियों के अनुकूल। मध्यम आकार, मजबूत, मजबूत।"
31,Ongole,ஒங்கோல்,ओंगोल,"Famous Andhra Pradesh breed. Large frame, used for draught and export. Resilient, disease-resistant, and strong.","ஆந்திரப் பிரதேசத்தின் பிரபலமான இனம். பெரிய அமைப்பு, ஈழ மற்றும் ஏற்றுமதி வேலைக்கு பயன்படும். வலிமை, நோய் எதிர்ப்பு, சகிப்புத்தன்மை.","आंध्र प्रदेश की प्रसिद्ध गाय। बड़ा ढांचा, खींचने और निर्यात के लिए उपयोग। मजबूत, रोग-प्रतिरोधक।"
32,Pulikulam,புளிக்குளம்,पुलीकुलम,"Small cattle breed from Tamil Nadu. Used in Jallikattu (bull sport) and draught work. Hardy, adaptable, and low-maintenance.","தமிழ்நாட்டின் சிறிய மாட்டு இனம். ஜல்லிக்கட்டு மற்றும் ஈழ வேலைக்கு பயன்படும். வலிமை, பொருந்தக்கூடியது, குறைந்த பராமரிப்பு.","तमिलनाडु की छोटी गाय। जल्लीकट्टू और खींचने के काम में उपयोग। मजबूत, अनुकूल, कम रख-रखाव।"
33,Rathi,ராதி,राठी,"Dairy breed from Rajasthan. Produces good quality milk in arid regions. Medium-sized, heat-tolerant, and hardy.","ராஜஸ்தானின் பால்கருவான இனம். உலர் பகுதிகளில் சிறந்த பால் உற்பத்தி. நடுத்தர அளவு, வெப்பத்திற்கு ஏற்றது, வலிமை வாய்ந்தது.","राजस्थान की डेयरी गाय। शुष्क क्षेत्रों में उच्च गुणवत्ता वाला दूध देती है। मध्यम आकार, गर्मी सहनशील और मजबूत।"
34,Red_Dane,ரெட் டேன்,रेड डेन,"Dairy breed from Denmark. Red-colored, medium to large size. Efficient milk producer with good butterfat.","டென்மார்க் பால்கருவான இனம். சிவப்பு நிறம், நடுத்தர முதல் பெரிய அளவு. சிறந்த பால் உற்பத்தி.","डेनमार्क की डेयरी गाय। लाल रंग, मध्यम से बड़ा आकार। उच्च गुणवत्ता वाला दूध उत्पादन।"
35,Red_Sindhi,ரெட் சிந்து,रेड सिंधी,"Dairy breed from India and Pakistan. Red-brown coat, heat-tolerant. Good milk yield with moderate fat content.","இந்தியா மற்றும் பாகிஸ்தானின் பால்கருவான இனம். சிவப்பு-பழுப்பு நிறம், வெப்பத்திற்கு ஏற்றது. சராசரி கொழுப்பு கொண்ட நல்ல பால்.","भारत और पाकिस्तान की डेयरी गाय। लाल-भूरा रंग, गर्मी सहनशील। मध्यम वसा के साथ अच्छा दूध उत्पादन।"
36,Sahiwal,சஹிவால்,साहीवाल,"One of the best zebu dairy breeds from Punjab. Highly productive milk breed. Resilient to heat, diseases, and low-input conditions.","பஞ்சாப் பகுதியின் சிறந்த ஈழக் காளைகளில் ஒன்று. அதிக பால் உற்பத்தி. வெப்பம், நோய்கள் மற்றும் குறைந்த உள்ளீட்டில் சகிப்புத்தன்மை.","पंजाब की सबसे अच्छी जेबू डेयरी गायों में से एक। उच्च उत्पादकता वाला दूध। गर्मी, रोग और कम इनपुट में सहनशील।"
37,Surti,சுர்டி,सुरती,"Buffalo breed from Gujarat. Medium size, high-fat milk producer. Adapted to semi-arid regions and hardy.","குஜராத்தின் பசு இனம். நடுத்தர அளவு, அதிக கொழுப்பு கொண்ட பால். அரை உலர் பகுதிகளுக்கு ஏற்றது.","गुजरात की भैंस। मध्यम आकार, उच्च वसा वाला दूध। अर्ध-शुष्क क्षेत्रों के लिए अनुकूल।"
38,Tharparkar,தார்பார்கர்,थारपारकर,"Dual-purpose cattle from Rajasthan. Adapted to drought, arid climates, and rough terrain. Medium to large size, moderate milk yield.","ராஜஸ்தானின் இரு நோக்கங்களுக்கான இனம். பசிக்கட்கு உலர் மற்றும் கடுமையான சூழல் ஏற்றது. நடுத்தர முதல் பெரிய அளவு, சராசரி பால் உற்பத்தி.","राजस्थान की दोहरे प्रयोजन वाली गाय। सूखे, शुष्क जलवायु और कठिन भूभाग के लिए अनुकूल। मध्यम से बड़े आकार, मध्यम दूध उत्पादन।"
39,Toda,தொடா,टोडा,"Small cattle breed from Nilgiri Hills. Reared by Toda tribes, limited population. Unique appearance, hardy and low-maintenance.","நீலகிரி மலைகளின் சிறிய மாட்டு இனம். தொடா இனத்தினர் வளர்ப்பது, மக்கள் குறைவானது. தனித்துவமான தோற்றம், வலிமை மற்றும் குறைந்த பராமரிப்பு.","नीलगिरी हिल्स की छोटी गाय। टोडा जनजाति द्वारा पालन। सीमित संख्या। अनोखा रूप, मजबूत और कम रख-रखाव।"
40,Umblachery,உம்பிளச்சேரி,उम्बलाचेरी,"Draught cattle from Tamil Nadu. Strong, medium-sized breed used in agriculture. Adapted to local tropical climates.","தமிழ்நாட்டின் ஈழக் காளை இனம். வலிமை வாய்ந்த, நடுத்தர அளவு. வேளாண்மையில் பயன்படும். உள்ளூர் வெப்பமண்டல சூழலுக்கு ஏற்றது.","तमिलनाडु की खच्चर गाय। मजबूत, मध्यम आकार। कृषि में उपयोग। स्थानीय उष्णकटिबंधीय जलवायु के अनुकूल।"
41,Vechur,வேச்சூர்,वेचुर,"World’s smallest cattle breed from Kerala. Highly disease-resistant and hardy. Adapted to small-scale farming with low inputs.","கேரளாவின் உலகின் சிறிய மாட்டு இனம். நோய் எதிர்ப்பு மிக அதிகம், வலிமை வாய்ந்தது. குறைந்த உள்ளீடு கொண்ட சிறிய விவசாயத்திற்கு ஏற்றது.","केरल की दुनिया की सबसे छोटी गाय। उच्च रोग प्रतिरोधक और मजबूत। कम इनपुट वाले छोटे फार्म के लिए उपयुक्त।"
